cm 						rcp85	 rcp45	 rcp26
 Coast	Site	SiteID	lat	long	year	rcp85_50.0	rcp45_50.0	rcp26_50.0
Atlantic US	REEDY POINT	786	39.56	-75.57	2100	 95	 75	 63
Atlantic US	PORT JEFFERSON	848	40.95	-73.08	2100	 96	 75	 62
Atlantic US	NEW ROCHELLE	856	40.89	-73.78	2100	 92	 71	 58
Atlantic US	MYRTLE BEACH	862	33.68	-78.89	2100	 85	 67	 56
Atlantic US	BRIDGEPORT	1068	41.17	-73.18	2100	 92	 71	 58
Atlantic US	CUTLER	1081	44.65	-67.22	2100	 87	 66	 53
Atlantic US	NANTUCKET ISLAND	1111	41.28	-70.10	2100	 98	 76	 63
Atlantic US	CAPE MAY	1153	38.97	-74.96	2100	 101	 81	 68
Atlantic US	DAYTONA BEACH SHORES	1182	29.15	-80.96	2100	 78	 59	 49
Atlantic US	ROCKLAND	1279	44.10	-69.10	2100	 84	 63	 50
Atlantic US	CAMBRIDGE II	1295	38.57	-76.07	2100	 98	 78	 66
Atlantic US	SPRINGMAID PIER	1444	33.66	-78.92	2100	 85	 67	 56
Atlantic US	CUTLER II	1524	44.64	-67.30	2100	 87	 66	 53
Atlantic US	CHESAPEAKE BAY BR. TUN.	1635	36.97	-76.11	2100	 102	 83	 71
Atlantic US	DUCK PIER OUTSIDE	1636	36.18	-75.75	2100	 100	 81	 70
Atlantic US	BERGEN POINT	1637	40.64	-74.14	2100	 98	 77	 64
Atlantic US	VIRGINIA KEY	1858	25.73	-80.16	2100	 84	 64	 54
Atlantic US	TRIDENT PIER	2123	28.41	-80.59	2100	 80	 61	 50
Atlantic Canada	HALIFAX	96	44.67	-63.58	2100	 96	 75	 61
Atlantic Canada	TROIS-RIVIERES	126	46.33	-72.55	2100	 55	 40	 29
Atlantic Canada	POINTE-AU-PERE	138	48.52	-68.47	2100	 57	 38	 26
Atlantic Canada	BATISCAN	144	46.50	-72.25	2100	 54	 40	 28
Atlantic Canada	QUEBEC	173	46.83	-71.17	2100	 48	 29	 18
Atlantic Canada	HARRINGTON HBR	176	50.50	-59.48	2100	 43	 25	 14
Atlantic Canada	NEUVILLE	192	46.70	-71.57	2100	 45	 26	 15
Atlantic Canada	SAINT JOHN	195	45.27	-66.07	2100	 90	 70	 57
Atlantic Canada	CAP A LA ROCHE	201	46.57	-72.10	2100	 48	 32	 22
Atlantic Canada	GRONDINES	387	46.58	-72.03	2100	 58	 41	 31
Atlantic Canada	PORT-AUX-BASQUES	392	47.57	-59.13	2100	 87	 68	 56
Atlantic Canada	ST. JOHN'S	393	47.57	-52.72	2100	 78	 59	 47
Atlantic Canada	CHARLOTTETOWN	427	46.23	-63.12	2100	 93	 73	 60
Atlantic Canada	CHURCHILL	447	58.77	-94.18	2100	 -48	 -66	 -75
Atlantic Canada	RESOLUTE	863	74.68	-94.88	2100	 1	 -0	 -9
Atlantic Canada	PORTNEUF	951	46.68	-71.88	2100	 44	 25	 14
Atlantic Canada	ST-FRANCOIS	999	47.00	-70.82	2100	 53	 34	 23
Atlantic Canada	TUKTOYAKTUK	1000	69.42	-132.97	2100	 74	 57	 48
Atlantic Canada	CHAMPLAIN	1005	46.43	-72.40	2100	 67	 62	 41
Atlantic Canada	LARK HARBOUR	1044	49.10	-58.37	2100	 68	 49	 37
Atlantic Canada	PICTOU	1121	45.68	-62.70	2100	 95	 75	 62
Atlantic Canada	YARMOUTH	1158	43.83	-66.13	2100	 99	 78	 65
Atlantic Canada	STE-ANNE-DES-MONTS	1199	49.13	-66.48	2100	 62	 42	 30
Atlantic Canada	RIVIERE-AU-RENARD	1213	49.00	-64.38	2100	 62	 43	 31
Atlantic Canada	BAIE COMEAU	1218	49.23	-68.13	2100	 52	 34	 22
Atlantic Canada	TADOUSSAC	1219	48.13	-69.72	2100	 55	 37	 25
Atlantic Canada	ST-JOSEPH-DE-LA-RIVE	1244	47.45	-70.37	2100	 50	 30	 19
Atlantic Canada	RIVIERE-DU-LOUP	1284	47.85	-69.57	2100	 58	 40	 28
Atlantic Canada	NORTH SYDNEY	1299	46.22	-60.25	2100	 98	 77	 65
Atlantic Canada	ARGENTIA	1321	47.30	-53.98	2100	 79	 59	 47
Atlantic Canada	SEPT-ILES	1322	50.20	-66.40	2100	 43	 25	 15
Atlantic Canada	SHEDIAC BAY	1326	46.25	-64.53	2100	 88	 68	 56
Atlantic Canada	RUSTICO	1330	46.47	-63.28	2100	 92	 72	 59
Atlantic Canada	LOWER ESCUMINAC	1349	47.08	-64.88	2100	 84	 65	 52
Atlantic Canada	PORT-ALFRED	1392	48.33	-70.87	2100	 47	 NaN	 NaN
Atlantic Canada	RIMOUSKI	1597	48.48	-68.52	2100	 57	 38	 26
Atlantic Canada	BECANCOUR	1798	46.40	-72.38	2100	 60	 46	 35
