sector,outcome,scenario,year,model_SD,weather_SD,stat_SD,all_SD
yields,totalnoco2,rcp85,2080,0.172737380061,0.00333575612978,0.0232690216176,0.169828692335
crime,violent,rcp26,2040,0.00506093409825,0.000109412071529,0.000414948310522,0.00493269276321
yields,oilcropnoco2,rcp85,2080,0.220617020357,0.00485236179062,0.0177896446666,0.216783627079
yields,cottonnoco2,rcp85,2080,0.204574237323,0.00381965279256,0.0476405372219,0.206869926341
yields,grains,rcp60,2040,0.054903841293,0.00898369168368,0.00642129184603,0.0578848219146
health,mortage0to0,rcp85,2040,1.97948631e-05,2.61432819674e-06,1.30663430085e-05,2.34466495758e-05
crime,property,rcp60,2080,0.00292631927024,0.000281721444817,0.000540258362925,0.0030273379459
health,mortage1to44,rcp45,2040,7.31002119523e-06,6.72780040543e-07,8.70901573517e-07,7.64416922049e-06
yields,maize,rcp60,2080,0.147910646277,0.0123049675576,0.0329535908482,0.158291317882
health,mortage1to44,rcp26,2080,6.70241074874e-06,3.95199449245e-07,2.42222481046e-07,6.30032021187e-06
labor,lowproductivity,rcp45,2080,0.000856863281363,0.000111386802438,0.000949485795973,0.000985569870795
health,mortage45to64,rcp45,2020,1.62072215679e-05,2.29359352865e-06,4.93222184411e-06,1.72120224355e-05
health,mortage0to0,rcp26,2040,1.4884270268e-05,3.11779449992e-06,6.43090066979e-06,1.70696625304e-05
yields,wheatnoco2,rcp85,2020,0.0164132380811,0.0016782727778,0.00365047076631,0.0180424616557
yields,grains,rcp85,2020,0.0578727498309,0.0049478293841,0.00563287418309,0.0590396571491
yields,oilcropnoco2,rcp60,2020,0.0521889577575,0.0137074947501,0.00283673160529,0.0514493447405
yields,oilcropnoco2,rcp60,2080,0.123700843656,0.0101229411324,0.157059772171,0.125365175968
health,mortage1to44,rcp45,2080,1.17825826902e-05,5.42271563541e-07,1.53217739349e-06,1.31386979934e-05
labor,lowproductivity,rcp45,2020,0.000292896406288,0.000103973262398,0.00030584004117,0.000445643807758
yields,wheat,rcp45,2040,0.0285763409655,0.00202286840528,0.0218188878409,0.0339294327553
health,mortage45to64,rcp26,2040,1.42583259958e-05,2.08946498549e-06,3.86225540007e-06,1.47710936902e-05
yields,grainsnoco2,rcp85,2020,0.0563010558238,0.00482077987439,0.00604715563108,0.0571614871426
yields,cottonnoco2,rcp26,2020,0.0460741867793,0.00568640998339,0.0251730512166,0.048500129427
yields,cottonnoco2,rcp26,2080,0.0660779660129,0.00584400725401,0.0442617014703,0.0654397581386
yields,grains,rcp85,2080,0.170767791415,0.0030850625229,0.0458663257185,0.175418128629
yields,cottonnoco2,rcp26,2040,0.0539657609615,0.00560867324041,0.0555566666889,0.061920295658
yields,oilcrop,rcp60,2040,0.0640879707859,0.0141631480078,0.0752580028995,0.0711965944478
crime,violent,rcp26,2020,0.00386534054781,9.34549832491e-05,0.000179258049549,0.00386301310054
health,mortality,rcp45,2040,3.22156932175e-05,4.48700346586e-06,1.9684063581e-05,3.79793723058e-05
health,mortality,rcp60,2080,3.36421326437e-05,4.4743602613e-06,2.22752474523e-05,4.44834232979e-05
yields,oilcropnoco2,rcp45,2020,0.0730130594433,0.00734491630393,0.0154114738596,0.0851488124311
yields,grains,rcp45,2040,0.0828344323809,0.00708887509097,0.022605926084,0.0807583139261
crime,violent,rcp26,2080,0.00622623233818,0.000103823395478,0.000215019623252,0.00603953312854
labor,highproductivity,rcp60,2040,0.00117091172025,0.000296807455713,0.000164740188,0.00147145113319
yields,wheatnoco2,rcp60,2020,0.0109043483447,0.00223821093296,0.00870226764289,0.0139948658437
labor,highproductivity,rcp45,2080,0.00498920579502,0.00024317846002,0.0038404294024,0.00452559594282
yields,oilcropnoco2,rcp85,2040,0.109213482742,0.00994810521803,0.0108794946971,0.105866368894
health,mortage65toinf,rcp60,2040,0.000206795507781,3.16224397163e-05,7.29779581457e-05,0.000215500474159
yields,cottonnoco2,rcp85,2040,0.087972022363,0.00623589445978,0.025007509103,0.0980467969705
labor,lowproductivity,rcp60,2040,0.000210635473155,7.02717600679e-05,9.39990407722e-05,0.000384972242675
crime,property,rcp26,2040,0.00229569552861,0.000341301736725,0.000384344566089,0.00237382710754
health,mortality,rcp26,2040,2.17264357426e-05,3.77382388882e-06,9.51648699573e-06,2.63268784649e-05
crime,property,rcp26,2020,0.0018823671285,0.000346622124211,0.000214875149602,0.00192612032365
health,mortage0to0,rcp26,2080,1.53423383276e-05,2.15782991694e-06,3.05692986963e-06,1.71203181168e-05
labor,lowproductivity,rcp26,2020,0.000231469571283,8.61517840064e-05,0.000381532290292,0.000446057658897
yields,maizenoco2,rcp85,2020,0.0830749429564,0.00867714801566,0.00899798292633,0.087128902009
crime,violent,rcp45,2040,0.0065524381206,0.000130434925551,0.000410260599445,0.00656258804987
labor,highproductivity,rcp26,2020,0.00136421553441,0.000345552881969,0.000332126649624,0.00150680062112
yields,total,rcp45,2080,0.169822834791,0.00716361779521,0.0196687613516,0.157023958487
yields,oilcrop,rcp60,2080,0.1559328666,0.0128654223504,0.202016915636,0.162144441418
health,mortage1to44,rcp85,2040,8.65396588475e-06,3.92244475267e-07,1.4291973349e-06,8.37772449913e-06
crime,property,rcp45,2040,0.00300142253146,0.000392127802062,0.000102024101815,0.0030661139524
yields,total,rcp26,2040,0.0575978764846,0.00466588469215,0.0139113049431,0.0551996801612
yields,totalnoco2,rcp45,2020,0.0592309885544,0.00606942010958,0.0069870220759,0.0632448576073
health,mortage1to44,rcp60,2020,4.69917609972e-06,6.7446847273e-07,1.14193703449e-07,4.46737124578e-06
health,mortage65toinf,rcp45,2040,0.000208370443465,4.51039220405e-05,7.51909293947e-05,0.000244450869718
yields,maizenoco2,rcp45,2040,0.115764786078,0.0105381142187,0.0408998193681,0.114113351347
crime,violent,rcp60,2080,0.0078055209193,9.09832302613e-05,0.000563571086576,0.00816440279298
yields,wheat,rcp60,2020,0.0113481479489,0.00232135105782,0.0103317064528,0.0160119755575
yields,cotton,rcp45,2040,0.0664532583316,0.00695119537291,0.202153074869,0.0808139828819
yields,cotton,rcp60,2040,0.0562852589945,0.00653825217612,0.0248942484112,0.0651076494022
yields,grains,rcp26,2080,0.0650942697951,0.00660927029131,0.0138307314892,0.0643962909823
health,mortage65toinf,rcp60,2080,0.000227829702078,2.35244658146e-05,0.000247795623417,0.000317215662381
yields,wheatnoco2,rcp45,2040,0.0257747949868,0.00182412403077,0.0146135448144,0.0276913480548
yields,wheatnoco2,rcp45,2020,0.0208724460865,0.00167669505172,0.00710517689752,0.0220045551636
yields,oilcrop,rcp85,2080,0.327976691745,0.00728890385791,0.0253242452564,0.325998711204
health,mortage1to44,rcp60,2040,4.77522639958e-06,6.76036183084e-07,5.48932335091e-08,4.80883369649e-06
yields,grainsnoco2,rcp45,2080,0.131111416567,0.0052005749574,0.0263155724489,0.127970224477
crime,property,rcp85,2040,0.00267156208861,0.000309654881763,0.000719358296382,0.00256846349454
health,mortage65toinf,rcp26,2020,0.000158334555501,2.11529185657e-05,3.21619686753e-05,0.000168650961135
labor,lowproductivity,rcp26,2040,0.000233726427091,8.34079772922e-05,0.000660053613892,0.000452823159768
yields,oilcropnoco2,rcp60,2040,0.0591475984367,0.0129532911235,0.065810260787,0.0635458030438
labor,highproductivity,rcp26,2080,0.0018662320069,0.000311205722418,0.000167139908047,0.00194635851436
yields,wheat,rcp85,2080,0.0711339294265,0.00293312982377,0.0870781669171,0.125285853721
crime,property,rcp85,2080,0.00265029239346,0.000268901422016,0.00135411296196,0.00259647807996
yields,maize,rcp85,2080,0.237153490066,0.00425621499475,0.060324439304,0.240820736819
health,mortality,rcp45,2080,3.8166884265e-05,3.8961490119e-06,4.00099579783e-05,4.91046370986e-05
