fips,PST045213,PST045212,PST040210,PST120213,PST120212,POP010210,AGE135212,AGE295212,AGE775212,SEX255212,RHI125212,RHI225212,RHI325212,RHI425212,RHI525212,RHI625212,RHI725212,RHI825212,POP715212,POP645212,POP815212,EDU635212,EDU685212,VET605212,LFE305212,HSG010212,HSG445212,HSG096212,HSG495212,HSD410212,HSD310212,INC910212,INC110212,PVY020212,BZA010211,BZA110211,BZA115211,NES010211,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030212,LND110210,POP060210
26135,0,8592,8640,0,-0.6,8640,4.7,19.5,24.6,49.1,97.4,0.3,0.7,0.1,0.0,1.5,1.2,96.4,88.6,1.2,7.4,81.9,9.6,1148,21.9,9084,84.9,2.1,84100,3842,2.25,18136,33942,20.1,194,1469,9.1,638,1097,0.0,0.0,0.0,0.0,0.0,17.4,0,0,57124,6379,9005,18,565.73,15.3
26137,0,24020,24164,0,-0.6,24164,5.6,22.1,18.3,50.6,96.8,0.4,0.7,0.5,0.0,1.6,1.5,95.4,84.0,2.5,2.4,90.4,18.9,2318,21.2,14754,81.1,5.8,117500,9807,2.43,23594,47140,12.3,762,8101,-2.7,2014,3107,0.0,0.0,0.0,0.0,0.0,20.5,158006,290713,499775,20761,58833,66,514.97,46.9
26139,0,269099,263801,0,2.0,263801,6.4,25.4,12.5,50.9,93.3,1.7,0.6,2.8,0.0,1.7,9.0,85.2,85.7,5.7,9.6,90.7,29.3,14588,19.8,103100,78.9,18.2,156400,94389,2.71,25359,55760,10.5,5633,90369,3.9,17684,21445,0.0,0.6,1.0,0.2,1.8,25.8,9210895,2120633,2367832,9149,277197,771,563.47,468.2
26141,0,13129,13376,0,-1.8,13376,3.7,16.8,27.6,49.8,97.4,0.5,0.8,0.4,0.0,1.0,1.0,96.6,92.4,1.7,3.5,86.1,15.9,1553,24.2,10406,88.9,3.2,98900,6123,2.15,22158,39109,12.6,342,2131,-2.9,945,1229,0.0,0.0,0.0,0.0,0.0,17.3,0,8257,101360,7339,9188,22,658.72,20.3
26143,0,24106,24449,0,-1.4,24449,3.7,15.5,28.9,50.2,97.2,0.5,0.7,0.4,0.0,1.2,1.3,96.1,85.8,2.5,2.5,85.4,14.5,3282,23.6,24380,83.2,3.0,97600,11423,2.11,22659,34765,21.6,563,4542,0.8,1517,1865,0.0,0.0,2.4,0.0,0.0,22.0,0,6759,338403,13327,37284,41,519.64,47.1
26145,0,198353,200169,0,-0.9,200169,5.8,22.7,16.2,51.5,76.8,19.4,0.5,1.2,0.1,2.0,7.9,70.3,86.1,2.3,5.2,86.8,18.8,15285,21.5,86668,73.2,16.3,101600,77426,2.52,22162,42828,18.7,4375,75555,2.1,11298,14745,11.0,0.0,0.0,0.0,2.4,31.0,4604837,1070811,2534269,12546,337257,212,800.11,250.2
26147,0,160644,163040,0,-1.5,163040,5.4,22.7,15.6,50.4,94.5,2.5,0.5,0.5,0.0,1.9,3.0,91.9,86.5,2.6,4.0,88.5,15.5,12976,28.1,71534,77.6,12.7,131900,64083,2.52,24068,47877,14.3,3123,39572,3.2,10131,13054,0.0,0.0,0.9,0.0,0.7,24.7,2855519,872288,1601609,9424,178285,78,721.17,226.1
26149,0,60796,61295,0,-0.8,61295,6.7,25.3,15.7,50.4,94.0,2.7,0.6,0.7,0.0,1.9,6.8,87.7,90.6,3.4,9.9,84.5,14.3,4498,22.8,27676,77.6,10.9,110900,22258,2.72,20589,44214,17.3,1182,19492,9.0,3634,4656,2.4,0.0,1.1,0.0,1.8,24.4,3106616,0,559870,8971,53768,30,500.59,122.4
26151,0,42268,43114,0,-2.0,43114,5.6,22.7,18.7,50.2,97.5,0.5,0.5,0.4,0.0,1.1,3.6,94.3,90.5,1.1,3.7,85.8,11.7,3346,28.5,22626,81.7,6.9,102500,16413,2.59,20295,40019,16.7,845,7553,-6.3,3137,3920,0.0,0.0,0.0,0.0,0.0,25.7,595097,174871,300913,6918,30192,16,962.57,44.8
26153,0,8343,8485,0,-1.7,8485,4.3,19.0,22.6,50.5,87.0,0.2,9.1,0.2,0.0,3.5,0.8,86.4,89.1,1.3,2.0,89.0,12.3,859,17.5,6315,85.6,4.7,86300,3651,2.27,20962,37468,18.3,226,1925,2.0,405,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,110816,13097,10158,24,1171.36,7.2
