fips,own_code,av_11,av_21,av_22,av_23,av_31,av_42,av_44,av_48,av_51,av_52,av_53,av_54,av_55,av_56,av_61,av_62,av_71,av_72,av_81,av_92
"01073",2,,,,,,,100.1667,,0,,,0,,,0,0,0,0,0,2581.667
"01073",1,,,,,,,31.5,2757.333,2,11.33333,,1.6,,,,1519.667,,,,4081
"01073",3,,,454.4,,,,,395.6,0,0,423.1667,36.5,,238.8,5569.4,560.8,127.8,0,0,11455.33
"01073",5,33.16667,1838.167,4931,21729.33,31943.67,20363,46381.17,9135.667,12808.83,26138,5225.667,22507.5,4741,22655.67,3394.167,42974.17,3772.5,26924.17,11555,
"01075",1,,,,,,,,37.83333,,3,,,,,,,,,,2.333333
"01075",2,,,,,,,,,,,,,,,0,0,,,,0
"01075",5,67.6,4.2,0,129.1667,1753.5,0,402.5,458.1667,26.5,117.8333,18.16667,49.2,,28.2,,534.6667,.8,34.2,54.5,
"01075",3,,,8.8,,,,,0,,,3,,,0,312.6667,,,20.75,,146.6667
"01077",1,,,,,,,,164.5,,,,34,,,,,,,,135.3333
"01077",5,90.8,0,0,1396.833,4545.667,1409.833,4805.167,0,502.5,933.3333,296.5,722.6667,98.83334,1383.333,268.5,2451.833,286,2823.333,874.8333,
"01077",3,,,168.5,,,,,0,0,,0,0,,0,619.5,663.6667,0,,,849
"01077",2,,,,,,,0,,,,,,,0,0,,0,,,287.1667
"01079",3,,,22.8,,,,,,0,,0,,,,0,,,,,288.5
"01079",5,0,0,0,320.6667,1703,74.8,716.1667,50.33333,48.6,128.6,26.8,50.5,,137.5,0,0,0,0,114.6,
"01079",1,,,20.66667,,,,,47.33333,,,,2,,,,,,,,18
"01079",2,,,,,,,,,,,,,,,0,,0,,,154
"01081",5,234.2,38.6,165.8333,2106.667,6423.5,804.6667,5619.5,981.1667,489.1667,854.1667,611.3333,390.6,75.6,2682.833,229.1667,2467.333,474.5,4831,861.1667,
"01081",1,,,,,,,,149,,5.166667,,,,,,,,,,204.3333
"01081",3,,,25.2,0,,,,0,0,,0,0,,0,1028.4,1062.4,25,,0,1219.5
"01081",2,,,,,,,11.2,,,,,,,,1942.4,22.2,,,,375.8
"01083",5,237.6667,0,0,858.8333,5763.667,484.8333,2474.167,158,182.5,316.3333,131.1667,1541.5,0,0,14.8,203.4,73,1524.5,349.8333,
"01083",2,,,,,,,0,,,,,,,,0,,,,,268.8
"01083",3,,,0,,,,,,0,,0,,,,0,0,,,,412.3333
"01083",1,,,893.8333,,,,,87,,,,61,,,,,,,,150.1667
"01085",5,0,0,0,325.5,972.3333,6.8,259.1667,66.66666,0,64.4,14.6,18,0,18.2,15.6,59,0,0,20.16667,
"01085",3,,,9,,,,,,,,,,,,0,0,,,,150
"01085",2,,,,,,,0,,,,,,,,0,,,,,62.16667
"01085",1,,,,,,,,18.83333,,,,5.2,,,,,,,,3.166667
"01087",5,14.4,10,0,127.8333,86.4,59.16667,448.8333,31.83333,23.83333,73.33334,29.83333,37,,28,0,0,0,0,104,
"01087",2,,,,,,,0,,,,,,,,0,,,,,134.8333
"01087",3,,,0,,,,,0,,,0,,,0,0,0,,,0,401
"01087",1,,,,,,,14.5,41,,,,18,,,,946.1667,,,,33.83333
"01089",5,0,0,0,5581.667,26303.5,4333,18613.17,0,2195.167,3273,1856.667,21774,344.8333,10342.67,1063.833,9235.833,1189.667,12214.33,3953,
"01089",2,,,,,,,19.2,0,7.2,,,,,0,2008.4,56.8,,,,573.8333
"01089",3,,,0,,,,,0,151.1667,,18.66667,125.2,,20.4,0,0,852,243,0,3751.833
"01089",1,,,40.75,,,,314.5,788.6667,1.8,12,,648.1667,,1,5.333333,125.1667,111.1667,117.6667,,12034.83
"01091",5,371.1667,,76.8,270.1667,2746.833,177.8,909.3333,277,74.83334,263.8333,58.16667,54.16667,0,71,76.4,453.6,44.66667,397.8333,135,
"01091",2,,,,,,,4.8,,0,,,,,,0,,0,,,116.1667
