fips,av_11,av_21,av_22,av_23,av_31,av_42,av_44,av_48,av_51,av_52,av_53,av_54,av_55,av_56,av_61,av_62,av_71,av_72,av_81,av_92
"01117",173.8333,291.5,1107.5,4946.833,7168.167,3750.667,5899.867,884.6667,882.8667,3038.5,900.6667,2983.667,522.1667,2922.167,3662.5,4032.133,595,4014.833,1731.833,1826.667
"01119",40.83333,0,18.4,89.33334,566.1667,155.3333,477.3333,174.7667,28,75,25.5,6.5,0,219.3333,0,0,17.6,231.4,61.83333,405.5
"01121",26.4,281,206.3667,1115.667,9328.167,550.2,3045.833,588.8333,190.5,639.8333,269.8667,403.2,39,728.8333,1773.733,626.6333,205.6667,1743.9,692,1463.333
"01123",0,0,44.2,529.8333,4886.833,435,1643,217.1667,135.8333,391,108.6667,183.8,62.2,645.6667,897,0,218.3333,935.1667,245.1667,879
"01125",275,2157.167,343.7333,5554.5,12191.33,1736,9712.5,2129.333,1037.167,1790.667,1071.167,2344.167,267.5,2638.667,4309.833,9934.034,785,6944.5,2252.667,2832
"01127",207.1667,404.1667,287.4333,636,1763,145,3636.667,622.8333,194.3333,596.3333,191.2333,406.3333,169.4,138.6,0,3.25,107.1667,1553.167,545.5,719.3333
"01129",0,0,150,282.3333,1464.5,24,272.1667,128.1667,8.2,0,0,33.16667,0,98,301,111.2,0,4.8,14.6,174.3333
"01131",219,0,0,184.6667,901.5,69.66666,288.1667,40.83333,48,107.5667,12.4,61.16667,0,.8,8.8,45.6,0,83.83334,87,385.1667
"01133",11.83333,0,0,179.1667,4315.5,397.5,833.5,54.16667,79.33334,236.6667,85.16666,26.16667,0,148.2,604.3333,0,16,178.0667,78.83334,304.8
"01999",149.8,285.2,0,0,0,10344,3320.6,0,931.4,1030.6,324.6,5062.4,76,8343,606.2,1482.6,30,840,1085.8,151.8
"02000",982.8333,8331.667,1814,16412.57,11957,6232.667,35261,22062.83,7091.267,8287.833,4938.667,11840.33,2096.5,10909.5,26238.17,31127.33,5443.333,25500.17,8281.167,38095.83
