ANSI,NAME,REGION
6079,"San Luis Obispo County, CA","SPC"
6081,"San Mateo County, CA","SPC"
6083,"Santa Barbara County, CA","SPC"
6085,"Santa Clara County, CA","SPC"
6087,"Santa Cruz County, CA","SPC"
6089,"Shasta County, CA","SWE"
6091,"Sierra County, CA","SWE"
6093,"Siskiyou County, CA","SPC"
6095,"Solano County, CA","SPC"
6097,"Sonoma County, CA","SPC"
6099,"Stanislaus County, CA","SWE"
6101,"Sutter County, CA","SPC"
6103,"Tehama County, CA","SWE"
6105,"Trinity County, CA","SPC"
6107,"Tulare County, CA","SWE"
6109,"Tuolumne County, CA","SWE"
6111,"Ventura County, CA","SPC"
6113,"Yolo County, CA","SPC"
6115,"Yuba County, CA","SWE"
8001,"Adams County, CO","SWE"
8003,"Alamosa County, CO","SWE"
8005,"Arapahoe County, CO","SWE"
8007,"Archuleta County, CO","SWE"
8009,"Baca County, CO","SWE"
8011,"Bent County, CO","SWE"
8013,"Boulder County, CO","SWE"
8014,"Broomfield County, CO","SWE"
8015,"Chaffee County, CO","SWE"
8017,"Cheyenne County, CO","SWE"
8019,"Clear Creek County, CO","SWE"
8021,"Conejos County, CO","SWE"
8023,"Costilla County, CO","SWE"
8025,"Crowley County, CO","SWE"
8027,"Custer County, CO","SWE"
8029,"Delta County, CO","SWE"
8031,"Denver County, CO","SWE"
8033,"Dolores County, CO","SWE"
8035,"Douglas County, CO","SWE"
8037,"Eagle County, CO","SWE"
8039,"Elbert County, CO","SWE"
8041,"El Paso County, CO","SWE"
8043,"Fremont County, CO","SWE"
8045,"Garfield County, CO","SWE"
8047,"Gilpin County, CO","SWE"
8049,"Grand County, CO","SWE"
8051,"Gunnison County, CO","SWE"
8053,"Hinsdale County, CO","SWE"
8055,"Huerfano County, CO","SWE"
8057,"Jackson County, CO","SWE"
8059,"Jefferson County, CO","SWE"
8061,"Kiowa County, CO","SWE"
8063,"Kit Carson County, CO","SWE"
8065,"Lake County, CO","SWE"
8067,"La Plata County, CO","SWE"
8069,"Larimer County, CO","SWE"
