"county","violent","property"
"46075",0.166666666666667,0.166666666666667
"46077",0.888888888888889,2.91666666666667
"46079",3.20833333333333,12.5694444444444
"46081",15.0277777777778,40.9722222222222
"46083",2.25,4.93333333333333
"46085",0.35,1.06666666666667
"46087",1.15277777777778,4.05555555555556
"46091",0.833333333333333,3.52777777777778
"46093",13.5694444444444,33.2083333333333
"46095",1.05555555555556,1.19444444444444
"46097",0.583333333333333,2.27083333333333
"46099",151.4,365.8
"46101",1.45833333333333,0.75
"46103",108.083333333333,318.583333333333
"46105",0.305555555555556,2.58333333333333
"46107",0.208333333333333,0.930555555555556
"46109",5.58333333333333,7.13333333333333
"46111",0.472222222222222,2.13888888888889
"46113",NA,NA
"46115",1.33333333333333,3
"46117",1.23611111111111,3.79166666666667
"46119",0.104166666666667,0.395833333333333
"46121",3.01666666666667,7.13333333333333
"46125",1.4375,3.3125
"46127",2.65277777777778,4.81944444444444
"46129",3.15,11.6833333333333
"46135",9.51388888888889,34.25
"47001",105.402777777778,260.347222222222
"47003",53.6666666666667,81.3055555555556
"47005",15.8888888888889,27.5833333333333
"47007",6.23611111111111,10.1805555555556
"47009",150.041666666667,255.291666666667
"47011",167.222222222222,287.305555555556
"47013",102.069444444444,112.652777777778
"47015",12.5138888888889,15.5138888888889
"47017",29.2361111111111,50.0277777777778
"47019",67.3055555555556,133.083333333333
"47021",38.3888888888889,63.4444444444444
"47023",17.75,29.2222222222222
"47025",44.4166666666667,54.7777777777778
"47027",5.05555555555556,8.98611111111111
"47029",49.6388888888889,108.694444444444
"47031",66.125,168.986111111111
"47033",19.9305555555556,23.4027777777778
"47035",45.1666666666667,144.819444444444
"47039",9.61111111111111,21.1805555555556
"47041",26.6388888888889,47.0555555555556
"47043",135.833333333333,118.305555555556
"47045",108.222222222222,132.347222222222
"47047",39.9861111111111,62.25
"47049",16.4375,32.3541666666667
"47051",60.4583333333333,88.3055555555556
"47053",82.5972222222222,122.277777777778
"47055",45.5138888888889,60.4722222222222
"47057",17.5555555555556,31.9722222222222
"47059",88.5416666666667,193.305555555556
"47061",7.65277777777778,11.4444444444444
"47063",108.472222222222,203.263888888889
"47065",769.25,1625.90277777778
"47067",1.91666666666667,10.9305555555556
"47069",49.4166666666667,78.8055555555556
"47071",37.6805555555556,69.5277777777778
"47073",65.1666666666667,98.875
"47075",54.9583333333333,68.7638888888889
"47077",41.1527777777778,73.7916666666667
"47079",52.0694444444444,84.6111111111111
"47081",29.2777777777778,40.125
"47083",10.6944444444444,11.2916666666667
"47085",18.5,26.9166666666667
"47087",5.04166666666667,15.2083333333333
"47089",66.4166666666667,128.958333333333
"47091",12.8611111111111,14.7361111111111
"47093",626.944444444444,1409.83333333333
"47095",5.76388888888889,7.20833333333333
"47097",66.6805555555556,89.3055555555556
"47099",129.652777777778,119.736111111111
"47101",11.625,17.9305555555556
"47103",49.2638888888889,65.5694444444444
"47105",61.3611111111111,109.694444444444
"47107",134.611111111111,188.555555555556
"47109",30.1666666666667,57.2361111111111
"47111",24.625,28.4027777777778
"47113",309.361111111111,450.333333333333
"47115",42.9722222222222,61.8472222222222
"47117",55.9583333333333,54.4027777777778
"47119",199.555555555556,263.583333333333
"47121",11.5555555555556,22.8055555555556
"47123",123.083333333333,126.416666666667
"47125",298.555555555556,470.680555555556
"47127",5.19444444444444,7.04166666666667
"47129",9.9375,17.3333333333333
"47131",57.0416666666667,99.6388888888889
"47133",11.9583333333333,24.25
"47135",6.11111111111111,13.0416666666667
"47137",3.02083333333333,0.916666666666667
"47139",NA,NA
"47141",87.0277777777778,177.041666666667
"47143",49.5,58.9444444444444
"47145",91.6666666666667,160.333333333333
"47147",136.763888888889,131.208333333333
"47149",386.513888888889,555.180555555556
"47151",31.3,45.3666666666667
"47153",14.7638888888889,24.0833333333333
"47155",128.430555555556,292.125
"47157",2693.51388888889,5519.02777777778
"47159",15.5277777777778,22.6805555555556
"47161",11.4305555555556,12.8333333333333
"47163",313.263888888889,497
"47165",261.333333333333,296.875
"47167",122.263888888889,136.430555555556
"47169",9.41666666666667,14.1527777777778
"47171",20.4583333333333,41.875
"47173",17.3333333333333,29.3472222222222
"47175",3.05555555555556,6.04166666666667
"47177",45.6805555555556,97.9166666666667
"47179",229.375,424.569444444444
"47181",12.2361111111111,20.6111111111111
"47183",50.2083333333333,62.7083333333333
"47185",31.6527777777778,66.2083333333333
"47187",92.625,191.861111111111
"47189",125.722222222222,220.513888888889
"48001",57.1041666666667,118.645833333333
"48003",13.6,29
"48007",29.3166666666667,120.6
"48009",NA,NA
"48011",0.847222222222222,2.44444444444444
"48013",43.6666666666667,66.1527777777778
"48015",15.2916666666667,42.375
"48017",NA,NA
"48019",13.7222222222222,34.3611111111111
"48021",69.6944444444444,159.5
"48023",4.375,6.47222222222222
"48025",27.1,51.5166666666667
"48027",359.854166666667,868.625
"48029",2683.48611111111,7925.36111111111
"48031",4.81944444444444,10.3888888888889
"48033",NA,NA
"48035",5.33333333333333,14.0416666666667
"48037",149.388888888889,311.875
"48039",275.722222222222,557.888888888889
"48041",261.458333333333,695.208333333333
"48043",9.20833333333333,12.625
"48045",0.283333333333333,0.983333333333333
"48047",15.8,22.0333333333333
"48049",68.3472222222222,151.055555555556
"48051",12.9333333333333,19.0166666666667
"48053",41.9583333333333,65.4444444444444
"48055",41.1111111111111,69.5
"48057",NA,NA
"48059",3.875,9.70833333333333
"48063",12.75,25.6111111111111
"48065",1.69444444444444,2.375
"48067",16.8055555555556,53.0555555555556
"48069",8.875,15.7777777777778
"48071",NA,NA
"48073",61.5833333333333,111.666666666667
"48075",11.9583333333333,14.9027777777778
"48077",4.85,15.8333333333333
"48079",NA,NA
"48081",1.08333333333333,3.36111111111111
"48083",4.66666666666667,15.05
"48085",389.097222222222,1252.70833333333
"48087",2.52777777777778,6.34722222222222
"48089",22.9444444444444,37.4861111111111
"48091",115.055555555556,278.847222222222
"48093",12.8194444444444,22.1388888888889
"48095",1.6,2.38333333333333
"48097",36.6666666666667,107.402777777778
"48099",64.4305555555556,116.152777777778
"48101",0.444444444444444,1.19444444444444
"48103",2.08333333333333,6.5
"48105",3.25,4.83333333333333
"48107",1.93055555555556,2.51388888888889
"48109",1.88888888888889,1.16666666666667
"48111",11.25,23.0138888888889
"48115",20.5694444444444,28
"48117",21.0416666666667,48.9027777777778
"48119",5.09722222222222,10.7361111111111
"48121",288.680555555556,948.152777777778
"48123",15.9027777777778,32.1944444444444
"48125",0.972222222222222,1.41666666666667
"48127",14.9583333333333,18.125
"48129",1.77777777777778,5
"48131",21.2333333333333,27.35
"48133",12.3055555555556,40.9583333333333
