Region,FIPS,County,EA,"EA Name"
"MI - Detroit",26001,"Alcona County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26011,"Arenac County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26017,"Bay County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26035,"Clare County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26037,"Clinton County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26045,"Eaton County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26049,"Genesee County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26051,"Gladwin County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26057,"Gratiot County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26059,"Hillsdale County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26063,"Huron County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26065,"Ingham County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26069,"Iosco County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26073,"Isabella County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26075,"Jackson County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26087,"Lapeer County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26091,"Lenawee County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26093,"Livingston County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26099,"Macomb County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26111,"Midland County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26115,"Monroe County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26125,"Oakland County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26129,"Ogemaw County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26145,"Saginaw County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26147,"St. Clair County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26151,"Sanilac County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26155,"Shiawassee County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26157,"Tuscola County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26161,"Washtenaw County, MI",047,"Detroit-Warren-Flint, MI"
"MI - Detroit",26163,"Wayne County, MI",047,"Detroit-Warren-Flint, MI"
"MN - Minneapolis",27001,"Aitkin County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27003,"Anoka County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27005,"Becker County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27007,"Beltrami County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27009,"Benton County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27011,"Big Stone County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27013,"Blue Earth County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27015,"Brown County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27019,"Carver County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27021,"Cass County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27023,"Chippewa County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27025,"Chisago County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27029,"Clearwater County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27033,"Cottonwood County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27035,"Crow Wing County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27037,"Dakota County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27039,"Dodge County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27041,"Douglas County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27043,"Faribault County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27045,"Fillmore County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27047,"Freeborn County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27049,"Goodhue County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27051,"Grant County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27053,"Hennepin County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27057,"Hubbard County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27059,"Isanti County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27063,"Jackson County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27065,"Kanabec County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27067,"Kandiyohi County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27073,"Lac qui Parle County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27079,"Le Sueur County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27081,"Lincoln County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27083,"Lyon County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27085,"McLeod County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27087,"Mahnomen County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27091,"Martin County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27093,"Meeker County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27095,"Mille Lacs County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27097,"Morrison County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27099,"Mower County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27101,"Murray County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
"MN - Minneapolis",27103,"Nicollet County, MN",109,"Minneapolis-St. Paul-St. Cloud, MN-WI"
